Test_No, Bubble, Insertion, Merge, Quick, Selection
1,1567,2,73,816,910
2,1572,2,76,832,836
3,1572,2,73,834,837
4,1572,3,73,811,836
5,1572,2,72,923,836
6,1572,3,87,819,836
7,1575,3,73,812,836
8,1570,2,72,883,835
9,1574,2,73,867,839
10,1576,2,73,836,836
11,1571,2,73,838,836
12,1571,3,73,855,836
13,1579,3,73,891,836
14,1569,3,73,1052,835
15,1571,3,73,815,836
16,1572,2,73,854,836
17,1570,3,71,825,837
18,1575,3,75,833,837
19,1570,3,74,834,836
20,1571,3,72,838,836
21,1574,3,72,843,818
22,1571,3,73,832,948
23,1572,3,77,840,837
24,1570,3,72,835,838
25,1572,3,106,832,835
26,1570,3,74,833,836
27,1571,2,75,837,836
28,1571,2,73,839,836
29,1568,3,74,817,836
30,1571,3,73,832,836
31,1570,3,73,848,840
32,1571,3,73,818,837
33,1589,3,74,815,835
34,1701,2,87,839,837
35,1573,2,75,854,837
36,1570,2,76,819,836
37,1572,2,72,836,835
38,1580,3,75,832,837
39,1568,3,89,816,853
40,1621,3,75,860,836
41,1570,2,72,840,836
42,1574,2,72,854,835
43,1572,2,75,847,836
44,1571,3,74,820,819
45,1570,2,74,834,836
46,1571,3,86,831,837
47,1571,3,73,933,836
48,1758,2,74,817,841
49,1698,2,73,819,836
50,1571,3,114,836,837
