Test_No, Bubble, Insertion, Merge, Quick, Selection
1,2284,475,109,80,865
2,2337,478,111,83,1048
3,2333,479,111,80,865
4,2329,459,112,82,865
5,2339,460,110,81,862
6,2333,436,149,83,908
7,2426,436,111,78,932
8,2270,437,109,82,863
9,2331,460,111,84,846
10,2323,461,111,83,864
11,2327,472,109,83,865
12,2351,536,142,82,862
13,2356,476,109,121,867
14,2320,456,108,84,863
15,2311,455,126,81,867
16,2307,477,109,81,845
17,2327,475,112,81,843
18,2330,475,110,86,861
19,2345,470,110,85,865
20,2328,468,111,80,870
21,2394,464,111,79,884
22,2338,475,108,81,848
23,2285,464,108,82,866
24,2331,459,112,80,867
25,2329,458,107,82,865
26,2326,462,111,82,866
27,2333,462,108,81,866
28,2345,462,110,80,865
29,2332,468,109,80,867
30,2343,470,109,83,866
31,2334,561,111,78,866
32,2314,460,111,80,894
33,2320,446,111,81,863
34,2319,444,109,80,866
35,2323,635,109,81,863
36,2317,468,109,85,848
37,2323,464,109,83,878
38,2330,455,111,86,847
39,2319,456,112,99,866
40,2426,455,112,81,864
41,2332,466,110,81,862
42,2324,465,108,81,861
43,2323,466,110,82,867
44,2274,464,108,81,867
45,2330,468,108,123,1068
46,2332,453,109,80,862
47,2329,452,111,79,863
48,2330,477,109,81,866
49,2333,474,109,111,867
50,2324,475,109,79,867
