Test_No,Unsorted_size_100,Unsorted_size_1000,Unsorted_size_10000,Sorted_size_100,Sorted_size_1000,Sorted_size_10000
1,26,2284,251428,17,1567,157191
2,26,2337,246972,17,1572,156106
3,25,2333,248096,18,1572,156748
4,26,2329,250581,18,1572,157726
5,26,2339,256937,18,1572,156422
6,25,2333,250245,18,1572,157085
7,26,2426,251586,18,1575,157329
8,26,2270,250206,18,1570,156763
9,25,2331,250593,18,1574,156256
10,26,2323,246929,18,1576,156591
11,25,2327,247699,17,1571,157212
12,26,2351,248962,18,1571,157978
13,26,2356,247015,18,1579,156840
14,27,2320,246367,18,1569,156178
15,26,2311,250534,17,1571,156561
16,25,2307,248792,18,1572,157347
17,26,2327,248078,18,1570,157188
18,26,2330,248872,18,1575,158312
19,25,2345,248695,18,1570,155909
20,25,2328,248761,18,1571,156587
21,25,2394,249334,18,1574,157931
22,25,2338,246014,18,1571,156262
23,26,2285,249674,18,1572,156827
24,25,2331,248710,18,1570,156172
25,25,2329,248828,17,1572,156557
26,26,2326,246582,18,1570,157220
27,25,2333,249325,18,1571,156416
28,25,2345,248025,17,1571,156944
29,25,2332,248825,18,1568,156106
30,25,2343,251528,17,1571,157264
31,26,2334,249022,17,1570,157274
32,26,2314,251274,17,1571,156589
33,26,2320,250325,17,1589,157251
34,25,2319,248720,18,1701,157145
35,26,2323,248516,18,1573,156423
36,25,2317,248664,18,1570,160763
37,26,2323,248261,18,1572,158716
38,26,2330,248908,18,1580,156713
39,25,2319,248614,17,1568,158078
40,25,2426,248659,17,1621,157246
41,25,2332,248772,18,1570,156841
42,25,2324,249655,17,1574,156322
43,25,2323,248246,18,1572,156651
44,25,2274,249308,18,1571,157050
45,26,2330,248519,18,1570,156346
46,25,2332,248388,18,1571,156885
47,26,2329,247106,18,1571,156332
48,24,2330,247375,18,1758,156755
49,25,2333,246792,18,1698,157212
50,25,2324,249681,18,1571,156489
