Test_No,Unsorted_size_100,Unsorted_size_1000,Unsorted_size_10000,Sorted_size_100,Sorted_size_1000,Sorted_size_10000
1,6,475,45319,0,2,25
2,6,478,45599,0,2,24
3,6,479,45760,1,2,25
4,5,459,45562,0,3,25
5,5,460,45943,0,2,25
6,5,436,45747,0,3,25
7,6,436,45825,0,3,25
8,10,437,46043,0,2,25
9,5,460,46040,0,2,25
10,5,461,46105,0,2,25
11,5,472,45768,0,2,25
12,5,536,45793,0,3,25
13,5,476,45792,1,3,25
14,5,456,45708,0,3,25
15,5,455,45301,1,3,25
16,5,477,45680,0,2,25
17,6,475,45673,0,3,25
18,6,475,45648,0,3,25
19,6,470,45600,0,3,25
20,6,468,45876,0,3,26
21,6,464,45701,1,3,25
22,5,475,45600,0,3,24
23,5,464,46527,0,3,25
24,5,459,46268,0,3,25
25,5,458,45595,0,3,25
26,6,462,45731,0,3,25
27,8,462,46077,0,2,25
28,5,462,46331,0,2,25
29,6,468,46259,0,3,25
30,6,470,46427,1,3,25
31,6,561,46401,0,3,25
32,6,460,45824,1,3,25
33,6,446,45205,0,3,25
34,5,444,45693,0,2,25
35,5,635,45537,0,2,25
36,5,468,45537,0,2,25
37,5,464,45404,0,2,25
38,5,455,45973,0,3,25
39,5,456,46349,1,3,25
40,5,455,46209,0,3,25
41,6,466,46082,0,2,24
42,6,465,46016,0,2,25
43,5,466,45512,0,2,25
44,5,464,46197,0,3,24
45,5,468,45283,0,2,25
46,6,453,45733,0,3,25
47,5,452,45342,0,3,25
48,5,477,48324,0,2,25
49,6,474,45740,0,2,25
50,6,475,45628,0,3,25
