Test_No,Unsorted_size_100,Unsorted_size_1000,Unsorted_size_10000,Sorted_size_100,Sorted_size_1000,Sorted_size_10000
1,14,109,1332,11,73,843
2,14,111,1519,11,76,801
3,14,111,1328,12,73,817
4,14,112,1330,11,73,826
5,14,110,1434,11,72,798
6,14,149,1299,11,87,857
7,15,111,1299,12,73,819
8,15,109,1299,11,72,798
9,14,111,1328,12,73,860
10,14,111,1365,11,73,815
11,14,109,1331,11,73,815
12,14,142,1298,11,73,804
13,14,109,1300,33,73,804
14,15,108,1327,11,73,799
15,14,126,1317,12,73,794
16,14,109,1299,11,73,910
17,30,112,1326,11,71,795
18,14,110,1377,29,75,1092
19,14,110,1304,12,74,815
20,14,111,1299,11,72,796
21,14,111,1326,11,72,795
22,14,108,1341,12,73,797
23,14,108,1300,12,77,852
24,14,112,1326,12,72,814
25,14,107,1423,11,106,796
26,14,111,1312,11,74,816
27,14,108,1323,11,75,821
28,15,110,1341,11,73,832
29,15,109,1469,13,74,797
30,15,109,1328,11,73,812
31,14,111,1325,11,73,801
32,15,111,1333,12,73,902
33,14,111,1331,11,74,802
34,14,109,1376,12,87,794
35,14,109,1328,11,75,796
36,15,109,1325,16,76,800
37,14,109,1336,11,72,817
38,14,111,1345,12,75,797
39,14,112,1331,12,89,796
40,15,112,1323,12,75,803
41,14,110,1304,12,72,797
42,14,108,1386,11,72,812
43,14,110,1326,11,75,813
44,15,108,1326,12,74,836
45,15,108,1358,11,74,805
46,14,109,1352,12,86,845
47,14,111,1302,11,73,827
48,14,109,1363,11,74,795
49,14,109,1326,11,73,797
50,14,109,1331,12,114,796
