Test_No,Unsorted_size_100,Unsorted_size_1000,Unsorted_size_10000,Sorted_size_100,Sorted_size_1000,Sorted_size_10000
1,6,80,1092,11,816,84106
2,6,83,1076,11,832,84205
3,7,80,1060,11,834,84733
4,7,82,1179,11,811,83968
5,7,81,1286,11,923,83671
6,6,83,1048,11,819,83293
7,6,78,1105,11,812,83643
8,6,82,1052,11,883,83796
9,7,84,1048,11,867,84913
10,6,83,1066,27,836,83510
11,6,83,1066,11,838,83365
12,6,82,1066,11,855,85016
13,6,121,1067,11,891,84261
14,6,84,1226,11,1052,84345
15,6,81,1040,11,815,84440
16,6,81,1082,11,854,84431
17,6,81,1122,11,825,84106
18,7,86,1101,11,833,84318
19,21,85,1066,11,834,83889
20,6,80,1018,11,838,84082
21,7,79,1013,11,843,83897
22,6,81,1101,11,832,85423
23,6,82,1085,11,840,84231
24,6,80,1049,11,835,84038
25,6,82,1048,11,832,84229
26,7,82,1050,11,833,84047
27,7,81,1132,11,837,83743
28,7,80,1461,11,839,84230
29,7,80,1077,11,817,84149
30,6,83,1151,11,832,83652
31,6,78,1125,11,848,84198
32,6,80,1079,11,818,83500
33,6,81,1050,11,815,83074
34,6,80,1010,11,839,84187
35,6,81,1060,11,854,84155
36,6,85,1200,16,819,84136
37,6,83,1070,11,836,84818
38,6,86,1094,11,832,84167
39,6,99,1118,11,816,84664
40,6,81,1115,11,860,84572
41,6,81,1065,11,840,84030
42,6,81,1094,11,854,83892
43,6,82,1075,11,847,83969
44,6,81,1217,11,820,84119
45,6,123,1123,11,834,83572
46,6,80,1059,11,831,83574
47,6,79,1070,29,933,83807
48,6,81,1090,11,817,83021
49,7,111,1081,11,819,83370
50,6,79,1083,11,836,84140
